"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",1000,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
Air               ,   1.0000e+3,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+5,"N/A",
Aorta             ,   1.0000e+3,   3.0709e-1,   1.4905e+5,   3.7035e+1,   1.7803e+2,   2.9110e+1,
Bladder           ,   1.0000e+3,   2.0758e-1,   5.1418e+4,   7.2570e+1,   2.1797e+2,   3.5173e+1,
Blood             ,   1.0000e+3,   7.0000e-1,   5.2586e+3,   2.3928e+3,   1.1950e+2,   1.9026e+1,
BloodVessel       ,   1.0000e+3,   3.0709e-1,   1.4905e+5,   3.7035e+1,   1.7803e+2,   2.9110e+1,
BodyFluid         ,   1.0000e+3,   1.5000e+0,   9.8991e+1,   2.7238e+5,   8.1649e+1,   1.2995e+1,
BoneCancellous    ,   1.0000e+3,   8.1530e-2,   1.2320e+4,   1.1896e+2,   3.4875e+2,   5.5974e+1,
BoneCortical      ,   1.0000e+3,   2.0157e-2,   2.7024e+3,   1.3408e+2,   7.0172e+2,   1.1252e+2,
BoneMarrow        ,   1.0000e+3,   2.2655e-3,   5.6318e+3,   7.2309e+0,   1.9610e+3,   3.5824e+2,
BrainGreyMatter   ,   1.0000e+3,   9.8805e-2,   1.6406e+5,   1.0826e+1,   3.0379e+2,   5.3022e+1,
BrainWhiteMatter  ,   1.0000e+3,   6.2574e-2,   6.9811e+4,   1.6112e+1,   3.8755e+2,   6.5628e+1,
BreastFat         ,   1.0000e+3,   2.4192e-2,   1.1228e+4,   3.8730e+1,   6.3468e+2,   1.0365e+2,
Cartilage         ,   1.0000e+3,   1.7428e-1,   3.2042e+4,   9.7769e+1,   2.3832e+2,   3.8319e+1,
Cerebellum        ,   1.0000e+3,   1.1880e-1,   1.6436e+5,   1.2993e+1,   2.7918e+2,   4.7984e+1,
CerebroSpinalFluid,   1.0000e+3,   2.0000e+0,   1.0900e+2,   3.2983e+5,   7.0710e+1,   1.1254e+1,
Cervix            ,   1.0000e+3,   5.2326e-1,   4.9009e+5,   1.9192e+1,   1.3469e+2,   2.2582e+1,
Colon             ,   1.0000e+3,   2.3228e-1,   4.4887e+5,   9.3020e+0,   1.9665e+2,   3.4842e+1,
Cornea            ,   1.0000e+3,   4.2300e-1,   1.0145e+5,   7.4946e+1,   1.5273e+2,   2.4634e+1,
Duodenum          ,   1.0000e+3,   5.2427e-1,   5.6064e+4,   1.6810e+2,   1.3770e+2,   2.2046e+1,
Dura              ,   1.0000e+3,   5.0076e-1,   5.3440e+3,   1.6844e+3,   1.4127e+2,   2.2497e+1,
EyeSclera         ,   1.0000e+3,   5.0480e-1,   5.4553e+4,   1.6634e+2,   1.4032e+2,   2.2468e+1,
Fat               ,   1.0000e+3,   2.2404e-2,   2.4104e+4,   1.6708e+1,   6.4840e+2,   1.0956e+2,
GallBladder       ,   1.0000e+3,   9.0003e-1,   6.0000e+2,   2.6964e+4,   1.0540e+2,   1.6776e+1,
GallBladderBile   ,   1.0000e+3,   1.4000e+0,   1.2000e+2,   2.0971e+5,   8.4514e+1,   1.3451e+1,
Gland             ,   1.0000e+3,   5.2427e-1,   5.6558e+4,   1.6663e+2,   1.3769e+2,   2.2047e+1,
Heart             ,   1.0000e+3,   1.0630e-1,   3.5285e+5,   5.4152e+0,   2.7981e+2,   5.3509e+1,
Kidney            ,   1.0000e+3,   1.1274e-1,   2.1290e+5,   9.5189e+0,   2.8261e+2,   4.9951e+1,
Lens              ,   1.0000e+3,   3.2700e-1,   1.0555e+5,   5.5692e+1,   1.7331e+2,   2.8083e+1,
Liver             ,   1.0000e+3,   4.1380e-2,   8.5673e+4,   8.6821e+0,   4.6413e+2,   8.2866e+1,
LungDeflated      ,   1.0000e+3,   2.1567e-1,   2.5205e+5,   1.5381e+1,   2.0845e+2,   3.5402e+1,
LungInflated      ,   1.0000e+3,   7.9538e-2,   1.4151e+5,   1.0103e+1,   3.3748e+2,   5.9291e+1,
Lymph             ,   1.0000e+3,   5.2427e-1,   5.6558e+4,   1.6663e+2,   1.3769e+2,   2.2047e+1,
MucousMembrane    ,   1.0000e+3,   6.5738e-4,   3.2135e+4,   3.6773e-1,   1.6457e+3,   1.4711e+3,
Muscle            ,   1.0000e+3,   3.2115e-1,   4.3493e+5,   1.3273e+1,   1.6994e+2,   2.9161e+1,
Nail              ,   1.0000e+3,   2.0157e-2,   2.7024e+3,   1.3408e+2,   7.0172e+2,   1.1252e+2,
Nerve             ,   1.0000e+3,   2.8774e-2,   6.9911e+4,   7.3982e+0,   5.5111e+2,   1.0036e+2,
Oesophagus        ,   1.0000e+3,   5.2427e-1,   5.6064e+4,   1.6810e+2,   1.3770e+2,   2.2046e+1,
Ovary             ,   1.0000e+3,   3.2405e-1,   5.4444e+4,   1.0699e+2,   1.7485e+2,   2.8089e+1,
Pancreas          ,   1.0000e+3,   5.2427e-1,   5.6558e+4,   1.6663e+2,   1.3769e+2,   2.2047e+1,
Prostate          ,   1.0000e+3,   4.2427e-1,   5.9057e+4,   1.2914e+2,   1.5293e+2,   2.4529e+1,
Retina            ,   1.0000e+3,   5.0480e-1,   5.4553e+4,   1.6634e+2,   1.4032e+2,   2.2468e+1,
SkinDry           ,   1.0000e+3,   2.0006e-4,   1.1356e+3,   3.1668e+0,   6.0524e+3,   1.3143e+3,
SkinWet           ,   1.0000e+3,   6.5738e-4,   3.2135e+4,   3.6773e-1,   1.6457e+3,   1.4711e+3,
SmallIntestine    ,   1.0000e+3,   5.3236e-1,   2.6405e+5,   3.6241e+1,   1.3518e+2,   2.2116e+1,
SpinalCord        ,   1.0000e+3,   2.8774e-2,   6.9911e+4,   7.3982e+0,   5.5111e+2,   1.0036e+2,
Spleen            ,   1.0000e+3,   1.0303e-1,   1.0684e+5,   1.7334e+1,   3.0269e+2,   5.1034e+1,
Stomach           ,   1.0000e+3,   5.2427e-1,   5.6064e+4,   1.6810e+2,   1.3770e+2,   2.2046e+1,
Tendon            ,   1.0000e+3,   3.8270e-1,   3.0271e+5,   2.2726e+1,   1.5813e+2,   2.6299e+1,
Testis            ,   1.0000e+3,   4.2427e-1,   5.9057e+4,   1.2914e+2,   1.5293e+2,   2.4529e+1,
Thymus            ,   1.0000e+3,   5.2427e-1,   5.6558e+4,   1.6663e+2,   1.3769e+2,   2.2047e+1,
Thyroid           ,   1.0000e+3,   5.2427e-1,   5.6558e+4,   1.6663e+2,   1.3769e+2,   2.2047e+1,
Tongue            ,   1.0000e+3,   2.7427e-1,   5.8053e+4,   8.4926e+1,   1.8982e+2,   3.0569e+1,
Tooth             ,   1.0000e+3,   2.0157e-2,   2.7024e+3,   1.3408e+2,   7.0172e+2,   1.1252e+2,
Trachea           ,   1.0000e+3,   3.0093e-1,   4.7242e+4,   1.1450e+2,   1.8150e+2,   2.9139e+1,
Uterus            ,   1.0000e+3,   4.9171e-1,   9.2108e+5,   9.5961e+0,   1.3538e+2,   2.3908e+1,
Vacuum            ,   1.0000e+3,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+5,"N/A",
VitreousHumor     ,   1.0000e+3,   1.5000e+0,   9.8991e+1,   2.7238e+5,   8.1649e+1,   1.2995e+1,
