"ALL TISSUES, SINGLE FREQUENCY","FREQUENCY = ",10000,"Hz"
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
Air               ,   1.0000e+4,   0.0000e+0,   1.0000e+0,   0.0000e+0,   2.9979e+4,"N/A",
Aorta             ,   1.0000e+4,   3.1308e-1,   7.6908e+3,   7.3174e+1,   5.6131e+1,   9.0564e+0,
Bladder           ,   1.0000e+4,   2.1303e-1,   7.0249e+3,   5.4511e+1,   6.7887e+1,   1.1005e+1,
Blood             ,   1.0000e+4,   7.0004e-1,   5.2482e+3,   2.3977e+2,   3.7716e+1,   6.0278e+0,
BloodVessel       ,   1.0000e+4,   3.1308e-1,   7.6908e+3,   7.3174e+1,   5.6131e+1,   9.0564e+0,
BodyFluid         ,   1.0000e+4,   1.5000e+0,   9.8919e+1,   2.7258e+4,   2.5819e+1,   4.1094e+0,
BoneCancellous    ,   1.0000e+4,   8.2623e-2,   1.6578e+3,   8.9589e+1,   1.0940e+2,   1.7607e+1,
BoneCortical      ,   1.0000e+4,   2.0430e-2,   5.2164e+2,   7.0402e+1,   2.1967e+2,   3.5462e+1,
BoneMarrow        ,   1.0000e+4,   2.7347e-3,   6.7591e+2,   7.2727e+0,   5.6465e+2,   1.0307e+2,
BrainGreyMatter   ,   1.0000e+4,   1.1487e-1,   2.2241e+4,   9.2839e+0,   8.8420e+1,   1.5670e+1,
BrainWhiteMatter  ,   1.0000e+4,   6.9481e-2,   1.2468e+4,   1.0017e+1,   1.1414e+2,   2.0069e+1,
BreastFat         ,   1.0000e+4,   2.4676e-2,   5.4313e+2,   8.1666e+1,   2.0008e+2,   3.2236e+1,
Cartilage         ,   1.0000e+4,   1.7589e-1,   4.0432e+3,   7.8198e+1,   7.4920e+1,   1.2077e+1,
Cerebellum        ,   1.0000e+4,   1.3487e-1,   2.2535e+4,   1.0758e+1,   8.2202e+1,   1.4355e+1,
CerebroSpinalFluid,   1.0000e+4,   2.0000e+0,   1.0900e+2,   3.2983e+4,   2.2360e+1,   3.5588e+0,
Cervix            ,   1.0000e+4,   5.3699e-1,   1.7594e+4,   5.4864e+1,   4.2762e+1,   6.9309e+0,
Colon             ,   1.0000e+4,   2.3995e-1,   1.3624e+4,   3.1658e+1,   6.3545e+1,   1.0438e+1,
Cornea            ,   1.0000e+4,   4.4249e-1,   5.4088e+4,   1.4706e+1,   4.5950e+1,   7.8274e+0,
Duodenum          ,   1.0000e+4,   5.2973e-1,   8.6987e+3,   1.0947e+2,   4.3250e+1,   6.9466e+0,
Dura              ,   1.0000e+4,   5.0130e-1,   9.0472e+2,   9.9602e+2,   4.4640e+1,   7.1119e+0,
EyeSclera         ,   1.0000e+4,   5.1028e-1,   1.0646e+4,   8.6163e+1,   4.4012e+1,   7.0865e+0,
Fat               ,   1.0000e+4,   2.3830e-2,   1.0853e+3,   3.9469e+1,   2.0227e+2,   3.3018e+1,
GallBladder       ,   1.0000e+4,   9.0008e-1,   1.6499e+2,   9.8066e+3,   3.3330e+1,   5.3051e+0,
GallBladderBile   ,   1.0000e+4,   1.4000e+0,   1.2000e+2,   2.0971e+4,   2.6725e+1,   4.2537e+0,
Gland             ,   1.0000e+4,   5.2974e-1,   9.1897e+3,   1.0362e+2,   4.3238e+1,   6.9483e+0,
Heart             ,   1.0000e+4,   1.5421e-1,   7.0054e+4,   3.9570e+0,   7.1060e+1,   1.4523e+1,
Kidney            ,   1.0000e+4,   1.3774e-1,   3.8748e+4,   6.3898e+0,   7.8817e+1,   1.4660e+1,
Lens              ,   1.0000e+4,   3.3537e-1,   8.3204e+3,   7.2454e+1,   5.4230e+1,   8.7508e+0,
Liver             ,   1.0000e+4,   5.3495e-2,   2.8930e+4,   3.3239e+0,   1.1788e+2,   2.5237e+1,
LungDeflated      ,   1.0000e+4,   2.4290e-1,   3.4044e+4,   1.2826e+1,   6.1711e+1,   1.0617e+1,
LungInflated      ,   1.0000e+4,   9.3172e-2,   1.7174e+4,   9.7522e+0,   9.8430e+1,   1.7354e+1,
Lymph             ,   1.0000e+4,   5.2974e-1,   9.1897e+3,   1.0362e+2,   4.3238e+1,   6.9483e+0,
MucousMembrane    ,   1.0000e+4,   2.9317e-3,   2.9010e+4,   1.8166e-1,   1.7530e+2,   3.0968e+2,
Muscle            ,   1.0000e+4,   3.4083e-1,   2.5909e+4,   2.3647e+1,   5.3033e+1,   8.8050e+0,
Nail              ,   1.0000e+4,   2.0430e-2,   5.2164e+2,   7.0402e+1,   2.1967e+2,   3.5462e+1,
Nerve             ,   1.0000e+4,   4.2403e-2,   3.5569e+4,   2.1429e+0,   1.2255e+2,   3.0626e+1,
